cell	label
P2449_N729-S510	J-LatA2+SAHA
P2770_N707-S517	J-LatA2+SAHA
P2449_N724-S511	J-LatA2+SAHA
P2458_N702-S516	J-LatA2+DMSO
P2458_N702-S517	J-LatA2+SAHA
P2458_N703-S516	J-LatA2+DMSO
P2771_N704-S508	J-LatA2+SAHA
P2769_N706-S510	J-LatA2+PMA
P2769_N706-S502	Jurkat+DMSO
P2458_N702-S520	J-LatA2+SAHA
P2771_N701-S510	J-LatA2+PMA
P2458_N705-S520	J-LatA2+SAHA
P2769_N710-S505	J-LatA2+DMSO
P2458_N711-S518	J-LatA2+SAHA
P2770_N711-S521	J-LatA2+PMA
P2769_N711-S511	J-LatA2+PMA
P2771_N711-S505	J-LatA2+DMSO
P2769_N706-S505	Jurkat+PMA
P2458_N714-S515	J-LatA2+DMSO
P2771_N710-S503	Jurkat+PMA
P2771_N702-S506	J-LatA2+DMSO
P2770_N707-S522	J-LatA2+PMA
P2458_N706-S516	J-LatA2+DMSO
P2769_N712-S507	J-LatA2+SAHA
P2770_N714-S516	J-LatA2+DMSO
P2771_N715-S507	J-LatA2+SAHA
P2770_N710-S518	J-LatA2+SAHA
P2770_N701-S516	Jurkat+PMA
P2770_N710-S515	Jurkat+PMA
P2449_N728-S511	J-LatA2+SAHA
P2458_N701-S517	J-LatA2+SAHA
P2771_N711-S510	J-LatA2+PMA
P2771_N704-S502	Jurkat+DMSO
P2771_N702-S502	Jurkat+DMSO
P2769_N712-S506	J-LatA2+SAHA
P2449_N724-S510	J-LatA2+SAHA
P2458_N706-S522	J-LatA2+SAHA
P2771_N706-S510	J-LatA2+PMA
P2458_N712-S516	J-LatA2+DMSO
P2449_N716-S502	Jurkat+DMSO
P2769_N705-S502	Jurkat+DMSO
P2771_N712-S506	J-LatA2+SAHA
P2458_N702-S518	J-LatA2+SAHA
P2458_N703-S515	J-LatA2+DMSO
P2449_N721-S502	Jurkat+DMSO
P2770_N715-S515	Jurkat+PMA
P2769_N712-S503	Jurkat+PMA
P2771_N707-S510	J-LatA2+PMA
P2771_N715-S502	Jurkat+SAHA
P2458_N704-S522	J-LatA2+SAHA
P2769_N715-S508	J-LatA2+PMA
P2458_N704-S513	Jurkat+DMSO
P2771_N705-S503	Jurkat+SAHA
P2458_N701-S521	J-LatA2+SAHA
P2770_N704-S522	J-LatA2+PMA
P2771_N707-S506	J-LatA2+SAHA
P2449_N719-S511	J-LatA2+SAHA
P2771_N712-S510	J-LatA2+PMA
P2458_N710-S516	J-LatA2+DMSO
P2769_N714-S503	Jurkat+PMA
P2449_N726-S508	J-LatA2+SAHA
P2769_N701-S503	Jurkat+SAHA
P2458_N712-S521	J-LatA2+SAHA
P2769_N703-S506	J-LatA2+DMSO
P2769_N702-S510	J-LatA2+PMA
P2769_N706-S506	J-LatA2+DMSO
P2769_N705-S508	J-LatA2+SAHA
P2769_N711-S508	J-LatA2+SAHA
P2770_N705-S517	J-LatA2+DMSO
P2458_N712-S515	J-LatA2+DMSO
P2449_N719-S510	J-LatA2+SAHA
P2770_N712-S516	J-LatA2+DMSO
P2770_N714-S515	Jurkat+PMA
P2771_N701-S505	Jurkat+PMA
P2769_N707-S510	J-LatA2+PMA
P2449_N721-S507	J-LatA2+SAHA
P2771_N710-S510	J-LatA2+PMA
P2770_N706-S521	J-LatA2+PMA
P2449_N719-S503	J-LatA2+DMSO
P2770_N712-S518	J-LatA2+SAHA
P2449_N726-S507	J-LatA2+SAHA
P2770_N712-S520	J-LatA2+PMA
P2770_N702-S515	Jurkat+SAHA
P2458_N703-S522	J-LatA2+SAHA
P2770_N710-S520	J-LatA2+SAHA
P2769_N714-S502	Jurkat+SAHA
P2449_N716-S511	J-LatA2+SAHA
P2769_N714-S505	J-LatA2+DMSO
P2769_N715-S511	J-LatA2+PMA
P2770_N715-S520	J-LatA2+PMA
P2771_N706-S505	Jurkat+PMA
P2769_N707-S508	J-LatA2+SAHA
P2770_N715-S518	J-LatA2+SAHA
P2458_N712-S517	J-LatA2+SAHA
P2449_N727-S505	J-LatA2+DMSO
P2458_N714-S522	J-LatA2+SAHA
P2449_N728-S510	J-LatA2+SAHA
P2449_N723-S508	J-LatA2+SAHA
P2770_N704-S521	J-LatA2+PMA
P2769_N704-S507	J-LatA2+SAHA
P2769_N714-S511	J-LatA2+PMA
P2458_N701-S516	J-LatA2+DMSO
P2771_N703-S503	Jurkat+SAHA
P2449_N728-S502	J-LatA2+DMSO
P2769_N702-S502	Jurkat+DMSO
P2449_N720-S506	J-LatA2+SAHA
P2449_N718-S508	J-LatA2+SAHA
P2449_N728-S503	J-LatA2+DMSO
P2770_N702-S516	Jurkat+PMA
P2449_N721-S510	J-LatA2+SAHA
P2769_N703-S505	Jurkat+PMA
P2770_N705-S518	J-LatA2+SAHA
P2769_N711-S506	J-LatA2+SAHA
P2458_N715-S513	J-LatA2+DMSO
P2771_N703-S506	J-LatA2+DMSO
P2771_N705-S505	Jurkat+PMA
